"Timestamp","What is your age bracket?","What is your gender?","What is your education level?","How often do you use AI tools for your work?","Which AI tools have you used?","Which AI tool you prefer?","Which AI tool is more helpful for your work?","In terms of performance and capabilities, how does Google BARD compare to GPT 3/ GPT 4?","In terms of performance and capabilities, how does GPT 3/ GPT 4 compare to Google BARD?","For the AI tool that you use, do you think there is a room for improvement?"
"2023/07/08 7:20:48 PM GMT+8","25-35","Male","PhD","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:21:28 PM GMT+8","35-45","Male","PhD","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 7:23:46 PM GMT+8","25-35","Male","Master's","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:24:01 PM GMT+8","25-35","Male","PhD","Rarely","GPT 3/GPT 4;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Average","Agree"
"2023/07/08 7:28:16 PM GMT+8","35-45","Male","PhD","Never","Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Don't Know"
"2023/07/08 7:30:22 PM GMT+8","25-35","Female","PhD","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
"2023/07/08 7:34:56 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:38:15 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:38:41 PM GMT+8","25-35","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:39:06 PM GMT+8","15-25","Male","Bachelor's","Often","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:39:08 PM GMT+8","25-35","Male","Master's","Everytime","GPT 3/GPT 4;Google BARD;Other","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:39:31 PM GMT+8","25-35","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:39:52 PM GMT+8","25-35","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Excellent","Agree"
"2023/07/08 7:40:39 PM GMT+8","35-45","Male","PhD","Rarely","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Good","Good","Agree"
"2023/07/08 7:40:50 PM GMT+8","15-25","Male","Bachelor's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Excellent","Agree"
"2023/07/08 7:41:26 PM GMT+8","25-35","Male","Master's","Everytime","GPT 3/GPT 4","GPT 3/ GPT 4","GPT 3/ GPT 4","Average","Good","Agree"
